Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
https://kawalpemilu.org#42310,"DONOKERTO, TURI, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",18,105,114,219
https://kawalpemilu.org#41991,"GILANGHARJO, PANDAK, BANTUL, DAERAH ISTIMEWA YOGYAKARTA",51,154,36,190
https://kawalpemilu.org#42031,"TAMANAN, BANGUNTAPAN, BANTUL, DAERAH ISTIMEWA YOGYAKARTA",37,138,63,201
https://kawalpemilu.org#42126,"SIDOHARJO, TEPUS, GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA",13,100,139,239
https://kawalpemilu.org#42011,"WUKIRSARI, IMOGIRI, BANTUL, DAERAH ISTIMEWA YOGYAKARTA",3,185,62,247
https://kawalpemilu.org#42327,"KRICAK, TEGALREJO, KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA",38,151,75,226
https://kawalpemilu.org#42296,"TRIDADI, SLEMAN, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",28,108,81,189
https://kawalpemilu.org#42282,"BIMOMARTANI, NGEMPLAK, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",13,107,100,207
https://kawalpemilu.org#42102,"PATUK, PATUK, GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA",8,163,81,244
https://kawalpemilu.org#41964,"BANJAROYO, KALIBAWANG, KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA",13,188,47,235
https://kawalpemilu.org#42027,"JAGALAN, BANGUNTAPAN, BANTUL, DAERAH ISTIMEWA YOGYAKARTA",8,89,163,252
https://kawalpemilu.org#42358,"MANTRIJERON, MANTRIJERON, KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA",8,141,108,249
https://kawalpemilu.org#42290,"SUKOHARJO, NGAGLIK, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",14,132,62,194
https://kawalpemilu.org#42142,"GEDANGREJO, KARANGMOJO, GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA",10,130,60,190
https://kawalpemilu.org#42034,"WONOKROMO, PLERET, BANTUL, DAERAH ISTIMEWA YOGYAKARTA",40,139,96,235
https://kawalpemilu.org#25970,"KALIDERES, KALIDERES, JAKARTA BARAT, DKI JAKARTA",137,85,116,201
https://kawalpemilu.org#26061,"BINTARO, PESANGGRAHAN, JAKARTA SELATAN, DKI JAKARTA",37,106,65,171
https://kawalpemilu.org#26014,"PASAR MINGGU, PASAR MINGGU, JAKARTA SELATAN, DKI JAKARTA",48,163,78,241
https://kawalpemilu.org#26109,"PULO GEBANG, CAKUNG, JAKARTA TIMUR, DKI JAKARTA",107,92,85,177
https://kawalpemilu.org#26115,"KLENDER, DUREN SAWIT, JAKARTA TIMUR, DKI JAKARTA",174,57,181,238
https://kawalpemilu.org#26057,"TANJUNG BARAT, JAGAKARSA, JAKARTA SELATAN, DKI JAKARTA",29,123,55,178
https://kawalpemilu.org#26006,"KUNINGAN TIMUR, SETIABUDI, JAKARTA SELATAN, DKI JAKARTA",9,103,156,259
https://kawalpemilu.org#25840,"DURI PULO, GAMBIR, JAKARTA PUSAT, DKI JAKARTA",27,84,153,237
https://kawalpemilu.org#25931,"CENGKARENG TIMUR, CENGKARENG, JAKARTA BARAT, DKI JAKARTA",60,123,112,235
https://kawalpemilu.org#26058,"CIPEDAK, JAGAKARSA, JAKARTA SELATAN, DKI JAKARTA",33,91,111,202
https://kawalpemilu.org#26100,"KALISARI, PASAR REBO, JAKARTA TIMUR, DKI JAKARTA",31,88,158,246
https://kawalpemilu.org#25978,"KOTA BAMBU UTARA, PALMERAH, JAKARTA BARAT, DKI JAKARTA",38,68,131,199
https://kawalpemilu.org#25948,"PINANGSIA, TAMAN SARI, JAKARTA BARAT, DKI JAKARTA",18,104,84,188
https://kawalpemilu.org#26033,"CIPETE SELATAN, CILANDAK, JAKARTA SELATAN, DKI JAKARTA",45,113,120,233
https://kawalpemilu.org#25972,"TEGAL ALUR, KALIDERES, JAKARTA BARAT, DKI JAKARTA",275,106,80,186
https://kawalpemilu.org#25930,"KAPUK, CENGKARENG, JAKARTA BARAT, DKI JAKARTA",82,144,105,249
https://kawalpemilu.org#26004,"PASAR MANGGIS, SETIABUDI, JAKARTA SELATAN, DKI JAKARTA",34,74,116,190
https://kawalpemilu.org#26139,"LUBANG BUAYA, CIPAYUNG, JAKARTA TIMUR, DKI JAKARTA",83,114,145,259
https://kawalpemilu.org#26128,"CIBUBUR, CIRACAS, JAKARTA TIMUR, DKI JAKARTA",187,113,144,257
https://kawalpemilu.org#25913,"SEMPER TIMUR, CILINCING, JAKARTA UTARA, DKI JAKARTA",91,113,114,227
